age,gender,Mstatus,gradStud,trans,Flang ,Haddress,Hestatus,Plive,Fsize,Fsupport,Osupport,Medu,Fedu, Fjob,Mjob,Rclass,EIRR,PCGA,CCmember,OCmember,Mactivity,Dactivity,Aconsum,Efriend,Srec,Sother,Eresult,Hresult,Presult,gpa,tutor,Itutor,absent,Alab,Fread,Gstudy,Gwork,labInf ,IntUse,handout,refbook,lecture,internet,Edevice,advisor,uniInterest,progInterest,uniLike,deptLike
20 – 23,Female,Divorced,No,No,Afaan Oromo,Rural,Bad,Yes,large,No,No,Secondary education,not educated,Farmer,Health care related,Sense of belonging,No,Often,Often,Very often,Very often,Never,Medium,Medium,Medium,Low,85-100,3.00-3.49,500-549,3.00-3.49,Yes,No,Usually,Usually,3_4,High ,High ,No,Usually,No,Yes,No,No,No,Usually,No,No,neutral,neutral
20 – 23,Female,Single,No,Yes,Afaan Oromo,Urban,Bad,No,medium,No,No,Secondary education,Higher education,Health care related,Housewife,Sense of belonging,No,Often,Often,Very often,Very often,Never,Low,Medium,Medium,Low,70-84,2.50-2.99,500-549,2.50-2.99,Yes,No,Usually,Usually,5_6,Medium,Medium,No,Usually,No,No,Yes,No,Yes,Usually,Yes,No,neutral,Yes
24 – 29,Male,Married,No,Yes,Afaan Oromo,Urban,Good,Yes,large,Yes,Yes,Primary education,Secondary education,Health care related,Health care related,Friendly,Yes,Occasionally,Never,Occasionally,Never,Often,Medium,Low,Very High,Medium,55-69,3.00-3.49,600-649,3.00-3.49,Yes,Yes,Sometimes,Usually,3_4,Low,Low,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,No,No,neutral,neutral
<=19,Female,Divorced,No,No,Amharic,Urban,Good,Yes,medium,No,Yes,Primary education,Secondary education,Teacher,Merchant,Friendly,Yes,Occasionally,Occasionally,Occasionally,Often,Often,Medium,Medium,Low,High,70-84,3.50- 4.00,650 – 700,3.50- 4.00,Yes,Yes,Sometimes,Sometimes,7_8,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,Secondary education,Secondary education,Farmer,Housewife,Friendly,No,Often,Often,Often,Occasionally,Never,Low,Medium,High,Medium,70-84,3.00-3.49,400-449,3.00-3.49,Yes,Yes,Never,Always   ,1_2,Medium,Medium,Yes,Always   ,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,No,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Often,Often,Often,Very often,Occasionally,Low,Medium,High,Low,70-84,3.00-3.49,400-449,3.00-3.49,No,No,Always   ,Usually,3_4,Medium,Medium,Yes,Always   ,Yes,No,No,No,No,Sometimes,Yes,Yes,neutral,neutral
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,privat sector,Housewife,Friendly,No,Occasionally,Often,Never,Very often,Never,Low,Medium,Very High,Low,70-84,3.50- 4.00,350-399,2.50-2.99,No,No,Sometimes,Usually,1_2,Medium,Medium,No,Always   ,Yes,No,No,No,Yes,Never,No,Yes,Yes,Yes
20 – 23,Male,Married,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,not educated,not educated,Farmer,Housewife,Friendly,No,Often,Occasionally,Often,Often,Occasionally,Medium,Medium,High,Low,70-84,3.50- 4.00,400-449,3.00-3.49,Yes,Yes,Sometimes,Always   ,3_4,Medium,High ,Yes,Usually,No,No,No,Yes,Yes,Sometimes,No,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Very often,Never,Never,Low,Medium,Medium,Low,55-69,3.00-3.49,400-449,2.50-2.99,Yes,No,Never,Always   ,3_4,Medium,Medium,No,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,,Occasionally,Often,Never,Low,Low,Medium,Low,85-100,3.50- 4.00,600-649,3.00-3.49,No,No,Sometimes,Usually,1_2,Low,Low,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
30 – 39,Female,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Higher education,Teacher,Housewife,Friendly,Yes,Never,Occasionally,Often,Occasionally,Very often,Low,Medium,High,Medium,70-84,3.00-3.49,550-599,2.50-2.99,Yes,Yes,Sometimes,Usually,3_4,Low,Low,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
30 – 39,Male,Married,No,Yes,Afaan Oromo,Rural,Good,Yes,medium,No,No,Secondary education,Secondary education,Teacher,Housewife,Friendly,Yes,Never,Occasionally,,Never,Often,Medium,High,Very High,High,55-69,3.00-3.49,400-449,2.50-2.99,Yes,Yes,Sometimes,Sometimes,3_4,Low,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Divorced,No,Yes,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,Teacher,Teacher,Friendly,Yes,Never,Occasionally,Often,Often,Very often,Medium,Low,High,Very High,55-69,Less than 2.50,450-499,2.50-2.99,Yes,Yes,Always   ,Never,7_8,Low,Low,Yes,Never,No,Yes,No,No,Yes,Usually,Yes,Yes,neutral,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,other ,Housewife,Friendly,No,Often,Never,Often,Often,Often,Medium,High,High,Medium,70-84,3.00-3.49,400-449,2.00-2.49,Yes,No,Sometimes,Always   ,3_4,Medium,Medium,Yes,Always   ,Yes,No,No,No,No,Sometimes,Yes,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Very often,Never,Occasionally,Often,Medium,Low,Medium,Very High,85-100,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Usually,Never,1_2,Low,Low,Yes,Never,No,No,Yes,No,Yes,Sometimes,Yes,Yes,No,neutral
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,small,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Often,Never,Low,Medium,Medium,Low,55-69,2.50-2.99,400-449,2.50-2.99,Yes,No,Never,Usually,1_2,Low,Medium,No,Sometimes,Yes,No,No,No,No,Sometimes,No,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Occasionally,Very often,Occasionally,Never,Low,High,Medium,Low,85-100,3.50- 4.00,400-449,3.50- 4.00,No,No,Never,Always   ,3_4,Medium,High ,No,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Competitive,Yes,Occasionally,Often,Occasionally,,Occasionally,Medium,High,Low,High,55-69,3.00-3.49,450-499,3.00-3.49,No,No,Never,Always   ,3_4,Medium,Medium,Yes,Always   ,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,not educated,not educated,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Low,Medium,Low,55-69,3.00-3.49,400-449,2.50-2.99,No,No,Never,Never,>8 ,Medium,Medium,Yes,Sometimes,Yes,No,No,No,Yes,Sometimes,No,Yes,neutral,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Low,Medium,Medium,55-69,3.50- 4.00,400-449,3.50- 4.00,No,No,Sometimes,Usually,5_6,Low,Medium,Yes,Sometimes,No,No,No,Yes,No,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,Yes,Amharic,Rural,Good,Yes,large,,No,not educated,not educated,Farmer,Housewife,Friendly,No,Occasionally,Never,Occasionally,Often,Never,Low,Medium,Medium,Low,55-69,3.50- 4.00,400-449,2.50-2.99,Yes,Yes,Never,Usually,3_4,Low,Medium,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,No,Often,Very often,Very often,Occasionally,Occasionally,Low,Low,Medium,Medium,55-69,3.00-3.49,400-449,2.50-2.99,No,No,Never,Always   ,3_4,Medium,Medium,Yes,Sometimes,Yes,No,No,No,No,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,No,Often,Very often,Very often,Occasionally,Never,Low,Medium,Medium,Low,70-84,3.00-3.49,400-449,2.50-2.99,No,No,Never,Usually,3_4,Medium,Medium,Yes,Sometimes,Yes,No,No,No,No,Sometimes,Yes,No,Yes,Yes
24 – 29,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,not educated,not educated,Farmer,Housewife,Sense of belonging,No,Never,Never,Occasionally,Never,Never,Low,Medium,Very High,Medium,55-69,3.00-3.49,400-449,3.00-3.49,No,No,Never,Always   ,1_2,Low,Low,Yes,Usually,Yes,No,No,No,Yes,Sometimes,Yes,No,neutral,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,large,No,Yes,Secondary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Often,Occasionally,Occasionally,Occasionally,Low,Medium,High,Very High,55-69,2.50-2.99,400-449,2.50-2.99,No,No,Sometimes,Sometimes,3_4,Medium,Medium,Yes,Never,Yes,No,No,No,No,Sometimes,Yes,No,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,not educated,not educated,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Medium,Low,Less than 55,3.50- 4.00,450-499,2.00-2.49,No,No,Never,Always   ,5_6,Medium,High ,No,Sometimes,Yes,Yes,No,No,Yes,Sometimes,No,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Never,Often,Never,Low,Medium,Medium,Medium,55-69,3.00-3.49,500-549,3.00-3.49,Yes,No,Never,Sometimes,3_4,Low,Medium,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,not educated,not educated,Farmer,Housewife,Friendly,No,Never,Never,Often,Never,Never,Low,Medium,Low,Low,85-100,3.50- 4.00,400-449,3.00-3.49,No,No,Never,Usually,5_6,Low,High ,No,Sometimes,Yes,No,Yes,Yes,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Higher education,Health care related,Housewife,Friendly,No,Occasionally,Never,Often,Often,Never,Low,Medium,Low,Medium,85-100,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Never,Sometimes,5_6,Low,High ,No,Sometimes,Yes,No,No,No,Yes,Sometimes,No,No,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,Yes,not educated,not educated,Farmer,Housewife,Friendly,No,Never,Never,Occasionally,Occasionally,Never,Low,Medium,Low,Low,55-69,3.00-3.49,450-499,3.00-3.49,No,No,Always   ,Sometimes,1_2,Low,Medium,Yes,Sometimes,Yes,No,No,No,No,Sometimes,No,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,not educated,not educated,Farmer,Housewife,Friendly,Yes,Occasionally,Never,Often,Occasionally,Never,Medium,High,High,Low,85-100,3.00-3.49,450-499,3.00-3.49,Yes,Yes,Never,Sometimes,3_4,Medium,High ,Yes,Always   ,No,No,No,Yes,No,Sometimes,Yes,No,No,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Bad,Yes,large,Yes,Yes,Higher education,Higher education,Teacher,Housewife,Supportive,No,Often,Often,Occasionally,Often,Never,Low,Medium,Medium,Low,70-84,3.00-3.49,450-499,3.50- 4.00,Yes,Yes,Never,Always   ,3_4,High ,High ,No,Sometimes,No,No,No,Yes,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Never,Never,Never,Occasionally,Never,Low,Medium,Medium,Low,55-69,3.50- 4.00,450-499,3.00-3.49,Yes,Yes,Never,Usually,1_2,Medium,Medium,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,Primary education,Primary education,Farmer,Housewife,Friendly,No,Often,Never,Never,Often,Never,Low,Medium,Medium,Low,55-69,3.00-3.49,450-499,2.50-2.99,Yes,Yes,Never,Usually,5_6,Medium,Medium,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Never,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,large,No,No,not educated,not educated,Farmer,Housewife,Friendly,No,Occasionally,Never,Never,Never,,Low,Medium,Low,Medium,85-100,3.50- 4.00,450-499,3.00-3.49,No,No,Never,Sometimes,3_4,Medium,High ,No,Usually,Yes,No,No,No,No,Sometimes,Yes,No,Yes,neutral
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,Yes,Yes,Primary education,Primary education,Farmer,Housewife,Friendly,No,Occasionally,Never,Never,Occasionally,Never,Low,Medium,Medium,Medium,55-69,3.00-3.49,450-499,2.00-2.49,Yes,Yes,Never,Usually,3_4,Medium,Medium,Yes,Sometimes,No,Yes,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,Yes,No,not educated,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Medium,High,Low,70-84,2.50-2.99,450-499,2.50-2.99,Yes,No,Always   ,Always   ,3_4,Medium,High ,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,large,,No,Primary education,Primary education,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,High,Low,High,70-84,2.50-2.99,350-399,2.50-2.99,Yes,No,Always   ,Always   ,3_4,Medium,High ,Yes,Usually,No,No,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,No,large,Yes,No,Secondary education,Primary education,Merchant,Housewife,Supportive,No,Often,Often,Often,Often,Occasionally,Medium,Medium,High,Very High,70-84,3.00-3.49,450-499,3.00-3.49,No,No,Never,Always   ,3_4,Medium,High ,No,Always   ,Yes,No,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,Yes,Higher education,Higher education,Teacher,Teacher,Friendly,No,Never,Never,Occasionally,Never,Occasionally,Low,Medium,Medium,Low,55-69,3.00-3.49,450-499,2.00-2.49,No,No,Never,Usually,1_2,Medium,High ,Yes,Sometimes,Yes,No,No,No,No,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Female,Single,No,No,Amharic,Urban,Good,Yes,large,No,No,Higher education,Higher education,Health care related,Merchant,Friendly,Yes,Never,Never,Never,Never,Never,Low,Medium,High,Low,85-100,3.50- 4.00,450-499,3.00-3.49,Yes,No,Usually,Usually,3_4,Medium,High ,Yes,Always   ,Yes,No,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,Yes,medium,No,No,not educated,not educated,Farmer,Housewife,Friendly,Yes,Never,Never,Never,Never,Never,Low,Medium,Medium,Very High,70-84,2.50-2.99,450-499,2.50-2.99,No,Yes,Never,Usually,3_4,Medium,Medium,Yes,Sometimes,No,Yes,No,No,No,Sometimes,Yes,No,No,Yes
20 – 23,Male,Single,No,No,Amharic,Urban,Good,Yes,medium,Yes,No,Primary education,Secondary education,Merchant,Housewife,Friendly,No,Never,Never,Never,Never,Never,Low,Medium,Medium,Medium,55-69,2.50-2.99,450-499,2.50-2.99,No,No,Never,Always   ,5_6,Medium,Medium,No,Sometimes,Yes,Yes,Yes,No,No,Sometimes,No,Yes,No,Yes
20 – 23,Male,Single,No,No,Amharic,Rural,Good,No,medium,Yes,Yes,not educated,not educated,Farmer,Housewife,Friendly,Yes,Never,Never,Occasionally,Never,Never,Low,Low,Low,Low,55-69,3.00-3.49,450-499,3.50- 4.00,Yes,Yes,Never,Usually,1_2,Medium,High ,No,Sometimes,Yes,No,No,Yes,No,Sometimes,No,Yes,No,Yes
